"4000-08244";"SR8240_PUSHER_SET";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"4000-08245";"SR8241_PUSHER_SET";"Robot";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"4000-18241";"PREALIGNER-300MM-EDGE-GRIP";"Prealigner";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"4000-18540";"PADPREALIGNER";"Prealigner";"S";"3x per unit needed";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"4000-18520";"PADPREALIGNER Turntable (A)";"Prealigner";"S";"2x per unit needed";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"4000-18530";"PADPREALIGNER Turntable (B)";"Prealigner";"S";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"4000-18510";"PADPREALIGNER turnable clamp pad";"Prealigner";"S";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"2091-00050";"BG-EEF-200-WDC";"Robot";"";"";"2091-00051";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"2091-00051";"BG-EEF-200-LANG";"Robot";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"2091-00060";"BG-EEF-200-WTC-MAP";"Robot";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"2090-00500";"BG-EEF-VARIO";"Robot";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0090-09990";"WAFER-CENTERING-TOOL-300MM";"Robot";"S";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0090-09980";"WAFER-CENTERING-TOOL-200MM";"Robot";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0080-00070";"Passscheibe 0,01";"Robot";"S";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0080-00080";"Passscheibe 0,02";"Robot";"S";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0080-00040";"Passscheibe 0,05";"Robot";"S";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0080-00050";"Passscheibe 0,1";"Robot";"S";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0080-00050";"Passscheibe 0,1";"Robot";"S";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0090-02670";"BG-EEF-KAPTON-SET";"Robot";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"x";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
